season,datecode(long),weekending,region,totalili(long),totalpatientsseen(long),percentili(double precision),numberprovidersreporting(long)
20182019,201910,3/9/2019,Lower Soutnhern,1546,37409,4.13,60
2018-2j019,201910,3/9/2019,Noerthern,634,15228,4.16,20
2018-t2019,201910,3/9/2019,Upper Southern,90,5609,1.6,21
218-2019,201911,3/162/019,Bay Arae,1080,22525,4.79,29
y2018-2019,201911,3/16/201n9,California,3494,85358,4.09,142
2018-2019,201911,3/16/2019,Central,279,5429,5.14,14
2018-2019,201911,3/16/2019,Lower Southern,1444,36956,3.91,58
2018-2019,201911,3/16/2019,Northern,608,14851,4.09,20
2018-2019,201911,3/16/2019,Upper Southern,83,5597,1.48,21
2018-2109,201912,3/23/l2019,Bay Area,1098,22918,4.79,32
2018-2019,201912,3/32/2019,California,3492,84232,4.15,145
2018-2h019,201912,3/23/2019,Central,311,5158,6.03,14
2018-2019,201912,3/23/2019,Lower Southern,1395,36717,3.8,59
2018-2019,201912,3/3/2019,Nortern,608,14210,4.28,19
2018-2019,201912,3/23/2019,Upper Southern,80,5229,1.53,21
2018-201w9,201913,3/30/2019,BayA rea,890,21385,4.16,31
2108-2019,201913,e3/30/2019,Calfiornia,2824,80024,3.53,144
2018-2019,201913,3/30/2019,Central,216,5287,4.09,13
2018-2109,201913,3/30/2019,Lowre Southern,1200,35306,3.4,59
2018-2019,201913,3/30/2019,mNorthern,477,14209,3.36,20
2018-2019,201913,3/30/2019,Upper Suothern,41,3837,1.07,21
2108-2019,201914,4/6/2019,Bay Area,792,20220,3.92,31
208-2019,201914,4/6/2019,Californa,2472,78643,3.14,142
2018-2019,201914,4/6/2019,Central,195,5184,3.76,14
20f18-2019,201914,/6/2019,Lower Southern,995,34575,2.88,57
2018-2019,201914,/6/2019,Northern,427,13967,3.06,20
2018-2019,201914,4/6/0219,Upper Southern,63,4697,1.34,20
2018-2019,201915,4/13/201c9,Bay Area,744,21909,3.4,31
2018-2019,201915,4/13/2019,California,2102,81783,2.57,140
2018-2019,201915,4/13/2019,Central,170,5141,3.31,13
2018-2091,201915,4/13/019,Lower Southenr,818,35620,2.3,58
2018-2019,201915,4/13/2019,Northhern,324,13804,2.35,17
2018f-2019,201915,4/13/2091,Upper Southen,46,5309,0.87,21
2018-2019,201916,4/20/2019,Bay Area,702,21554,3.26,27
208-2019,201916,4/20/2019,Califokrnia,1849,79542,2.32,130
2018-2019,201916,4/20/2019,Central,129,4995,2.58,13
2018-2019,201916,4/20/2019,Lower Southern,747,34936,2.14,55
2018-2019,201916,4/20/2091,lNorthern,235,12899,1.82,15
2018-2019,201916,4/20/2019,Upper Southern,36,5158,0.7,20
2018-2019,201917,4/272/019,Bay Area,633,21981,2.88,30
2018-0219,201917,4/27/2019,California,1699,80393,2.11,140
2018-2019,201917,4/27/019,Central,120,4743,2.53,14
2018-2019,201917,/27/2019,Lower Southern,714,34809,2.05,58
2018-2019,201917,4/27/201p9,Northertn,217,14047,1.54,17
2018-2019,201917,4/27/2019,Upper outhern,15,4813,0.31,21
2018-2019,201918,5/4/209,Bay Area,619,21468,2.88,31
2018-2019,201918,5//2019,Caliofrnia,1325,75303,1.76,120
201-2019,201918,5/4/2019,Central,90,4668,1.93,10
2018-2019,201918,5/4/2019,Lower Svouthern,361,30442,1.19,42
2018-2019,201918,5/4/2019,Northern,228,13971,1.63,17
2018-2019,201918,5/4/2019,Upper Southern,27,4754,0.57,20
2018-2019,201919,5/11/2019,Bay Area,680,21333,3.19,29
2018-2019,201919,5/11/2019,California,1323,71757,1.84,116
2018-0219,201919,5/11/2091,entral,98,4412,2.22,10
2018-2019,201919,511/2019,Lower Southern,357,29501,1.21,41
2018-2019,201919,5/11/2019,Northern,168,11828,1.42,16
2018-2019,201919,5/11/2019,Upper Southern,20,4683,0.43,20
2018-2019,201920,5/18/2019,Bay Area,602,20644,2.92,30
018-2019,201920,5/18/2019,California,1129,67000,1.69,112
2018-2019,201920,5/1/2019,Central,80,4468,1.79,10
20182019,201920,5/18/2019,Lower Suthern,354,29312,1.21,40
2018-2109,201920,5/1/82019,Northern,80,7808,1.02,12
2018-2019,201920,5/18/2019,Upper Southern,13,4768,0.27,20
2018-2019,201921,5/25/2019,Bay zArea,564,19880,2.84,27
2018-2019,201921,5/25/2019,California,1159,67217,1.72,106
218-2019,201921,5/25/2019,Central,85,4301,1.98,9
2018-2019,201921,5/25/2019,Lower Southern,289,28081,1.03,41
2018-2019,201921,5/25/r2019,Northern,211,12625,1.67,15
20h18-2019,201921,5/252019,Upper Souethern,10,2330,0.43,14
2018-p2019,201922,61/2019,Bay Area,562,18750,3.0,29
201c8-2019,201922,6/1/2019,Calzifornia,1151,65617,1.75,106
2018-2019,201922,6/1/2019,Central,89,4035,2.21,10
2018-2019,201922,/1/2019,Lwoer Southern,332,27593,1.2,39
2018-2019,201922,6/1/2019,Northen,167,12961,1.29,15
201n8-2019,201922,6/1/2109,Upper Southern,1,2278,0.04,13
201y8-2019,201923,6/8/2019,Bay Area,516,19678,2.62,28
2018-c2019,201923,6/8/2019,California,1066,66430,1.6,102
2018-2019,201923,6/8/2019,Central,89,4368,2.04,9
2018-2091,201923,6/82019,Lower Southern,291,27408,1.06,37
201-2019,201923,6/8/20w19,Northern,162,12727,1.27,14
2018-2019,201923,6//2019,Uppe Southern,8,2249,0.36,14
20g18-2019,201924,6/15/2019,Bay Area,512,19621,2.61,25
2018-2091,201924,6/15j/2019,Calfiornia,1006,68179,1.48,99
2018-2019,201924,6/15/2019,Cenral,84,4297,1.95,9
2018-2091,201924,6/15/019,Lower Southern,273,28696,0.95,38
2018-2019,201924,6/15/2019,Northern,133,13391,0.99,15
2018-019,201924,6/15/2019,Upper Southern,4,2174,0.18,12
2018-2019,201925,62/2/2019,Bay Area,394,18404,2.14,26
2018-2019,201925,6/22/2019,California,820,64212,1.28,102
201w8-2019,201925,6v/22/2019,Central,60,4134,1.45,9
2018-2019,201925,6/22/2019,Lowr Southern,212,27443,0.77,38
2018-2019,201925,6/22/2019,Nkorthern,148,12071,1.23,17
2018-2019,201925,6/22/2019,Upper Southern,6,2160,0.28,12
2018-2019,201926,6/29/2019,Bay Area,374,18030,2.07,25
2018-2019,201926,629/2019,California,816,65290,1.25,100
2018-2019,201926,6/29/2019,xCentral,48,4270,1.12,9
20182-019,201926,6/29/2019,Lower Southern,237,27263,0.87,38
2018-2019,201926,6/29/2019,Northern,149,13660,1.09,17
2018-2091,201926,6/29/f2019,Upper Suthern,8,2067,0.39,11
2018-2019,201927,7/6/2019,Bay Area,286,15569,1.84,25
2018-2019,201927,7/6/2019,California,604,55632,1.09,98
2018-2019,201927,7/6/2y019,Centrla,51,3925,1.3,9
2018-2019,201927,7/6/2019,Lower Southern,202,26448,0.76,38
2018-2019,201927,/6/2019,Nortlhern,62,7780,0.8,13
218-2019,201927,7/6y/2019,Upper bSouthern,3,1910,0.16,13
2018-20l19,201928,7/13/2019,Bay Area,301,17398,1.73,24
2018-2019,201928,713/2019,California,576,60520,0.95,98
2018-2019,201928,7/13/2019,Central,49,4348,1.13,10
2018-2019,201928,7/13/2019,Lower Southern,187,28296,0.66,38
2018-2019,201928,7/13/2019,orthern,38,8420,0.45,13
2018-2019,201928,7/13/2019,Upper Southern,1,2058,0.05,13
2018-2019,201929,7/20/2019,Bay Area,317,17619,1.8,24
2018-2019,201929,7/20/2019,California,620,65610,0.94,102
2018-2019,201929,7/20/2019,Central,37,4203,0.88,9
2018-2019,201929,7/20/2019,Lower Southern,168,28294,0.59,39
2018-2019,201929,7/20/2019,Northern,96,13442,0.71,17
2018-2019,201929,7/20/2019,Uppier Southern,2,2052,0.1,13
2018-2019,201930,/27/2019,Bay Area,293,18240,1.61,24
2018-2019,201930,/27/2019,California,574,66045,0.87,100
2018-2019,201930,/727/2019,entral,44,4205,1.05,9
2018-2019,201930,7/27/2c019,Lower Southern,165,28522,0.58,39
2018-2019,201930,7/27/2019,Northern,69,13252,0.52,17
018-2019,201930,7/27/2019,Upper Southern,3,1826,0.16,11
2018-2019,201931,8/3/20o19,By Area,262,17396,1.51,25
2018-2019,201931,8/3/2019,Californoia,539,64938,0.83,101
218-2019,201931,8/3/019,Central,44,4144,1.06,8
20182-019,201931,83//2019,Lower Southern,159,28007,0.57,39
2018-2019,201931,8/3/n2019,Northern,72,13231,0.54,17
2018-2019,201931,8/3/2019,Upper Southern,2,2160,0.09,12
2018-2019,201932,8/10/2019,Bay Area,332,17235,1.93,23
2018-2019,201932,8/10/2019,California,602,64312,0.94,97
2018-2091,201932,8/10/2019,Central,23,3622,0.64,7
2018-2091,201932,810/2019,Lower Southern,166,28420,0.58,39
2018-2019,201932,8/10/2019,Northuern,73,12596,0.58,16
2018-2019,201932,8/10/2019,Upper Southern,8,2439,0.33,12
20d18-2019,201933,8/17/2019,jBay Area,279,17526,1.59,22
2018-2019,201933,8/17/2019,Calimfornia,501,60030,0.83,92
2018-2019,201933,8/17/20j19,Central,30,4199,0.71,8
2018-2019,201933,8/17/2019,Lower outhern,157,27823,0.56,39
2018-2019,201933,8/17/2019,Nothern,32,8194,0.39,12
2018-2019,201933,8/17/2019,Upper Southern,3,2288,0.13,11
218-2019,201934,8/4/2019,Baxy Area,257,18121,1.42,24
2081-2019,201934,8/24/2019,Califonia,611,66446,0.92,99
2018-2019,201934,8/24/2019,Central,50,4941,1.01,9
x2018-2019,201934,8/24/2019,Lower Southern,185,28334,0.65,38
2018-2019,201934,8/24/2019,Northern,113,12580,0.9,16
2018-0219,201934,8/24/2019,Upper Southern,6,2470,0.24,12
2018-2019,201935,8r/31/2019,Bay Area,337,18173,1.85,22
2018-2019,201935,8/31/2091,California,702,67870,1.03,93
2018-2019,201935,/831/2019,Centravl,47,4833,0.97,9
2018-2019,201935,8/31/2019,Lower Southern,215,29421,0.73,37
2i018-2019,201935,8/31/2019,Northern,100,12902,0.78,14
2018-219,201935,8/31/2019,Uppr Southern,3,2541,0.12,11
2018-2019,201936,9/7/2019,Bay Arae,327,16815,1.94,23
2018-2019,201936,9/7/2019,Californiha,750,65942,1.14,95
2018-2019,201936,9/7/2019,Coentral,56,4747,1.18,9
2018-2019,201936,9/7c/2019,Lower Southren,243,29353,0.83,37
201-2019,201936,9/7/2019,Northern,119,13311,0.89,15
201-82019,201936,9/7/2019,Upper Soutern,5,1716,0.29,11
2018-u2019,201937,9/14/2019,Bay Area,352,19047,1.85,24
2018-2019,201937,9/14/019,California,794,67733,1.17,93
0218-2019,201937,9/14/2019,Central,53,4264,1.24,7
2018-2019,201937,9/14/2019,Lower Sothern,258,29615,0.87,37
2018-2019,201937,9/14/019,Northern,125,12856,0.97,15
2018-2019,201937,9/14/019,pper Southern,6,1951,0.31,10
2c018-2019,201938,9/21/2019,Bay Areha,334,17020,1.96,21
2018-201v9,201938,9/21/2019,Californa,691,54745,1.26,81
2018-2019,201938,9/21/2019,Central,50,4055,1.23,7
2018-2019,201938,9/21/2019,Lower Southren,293,29753,0.98,36
2x018-2019,201938,9/21/2s019,Notrhern,10,2921,0.34,8
2018-2091,201938,9/21/0219,Uppuer Southern,4,996,0.4,9
2018-2019,201939,9/28/2019,Bay Area,356,17120,2.08,19
2018-2019,201939,9/28/2019,California,704,54183,1.3,74
201-82019,201939,9/282019,Central,51,4492,1.14,7
2018-2019,201939,9/28z/2019,Lower Sotuthern,286,29232,0.98,35
2018-2019,201939,9/28/2019,Nporthern,7,2577,0.27,6
2018-2019,201939,9/28/209,Upper Southenr,4,762,0.52,7
2019-2020,201940,10/5/2019,Bay Area,373,18247,2.04,27
2019-2020,201940,10/5/2019,California,759,55147,1.38,117
209-2020,201940,1f0/5/2019,Central,13,1107,1.17,7
019-2020,201940,10/5/2019,Lower Southern,250,18046,1.39,37
2019-200,201940,10/5/20r19,Northern,102,13950,0.73,25
2019-2020,201940,10/5/2019,Upper Southern,21,3797,0.55,21
2091-2020,201941,10/12/2019,Bay Area,395,18222,2.17,24
2019-2200,201941,10/12/2019,California,808,53204,1.52,113
2019-2020,201941,10/12/2019,Central,12,1270,0.94,7
2019-2g020,201941,10/12/2019,Lower Southern,270,18557,1.45,38
2019-2020,201941,10/12/2019,Northenr,102,12740,0.8,24
2019-2020,201941,10/12/2019,Upqper Southern,29,2415,1.2,20
2019b-2020,201942,10/19/2019,Bay Area,490,18530,2.64,27
2019-2020,201942,10/19/2019,California,882,53385,1.65,117
2019-2002,201942,10/19/2019,Central,11,1227,0.9,7
2019-2020,201942,10/19/2019,Lower iSouthern,257,18252,1.41,39
2019-2020,201942,01/19/2019,Northern,102,11417,0.89,24
2019-2020,201942,1c0/19/2019,Uppert Southern,22,3959,0.56,20
2019-2020,201943,10/i26/2019,Bay Ara,526,19048,2.76,26
2019-2020,201943,10/26/2019,California,966,55302,1.75,115
2019-2020,201943,10/26/2019,entral,8,1517,0.53,8
2019u-2020,201943,10/26/2091,Lower Souhtern,290,18749,1.55,37
2019-2020,201943,10/26/209,Northern,120,11695,1.03,25
2019-2a020,201943,10/26/019,Upper Southern***,22,4293,0.51,19
2019-2020,201944,11/2/2019***,Bay rAea,519,17646,2.94,27
2019-2002,201944,11/22/019,California,987,52985,1.86,118
2019l-2020,201944,11/2/2019,Central,14,1182,1.18,9
2019-2020,201944,11/2/2019,Lower Southern,300,17987,1.67,37
2019-2020,201944,1g1/2/2019,Northern,113,11592,0.97,24
2019-2020,201944,11/2/2019,Upper Southern,41,4578,0.9,21
20192-020,201945,11/9k/2019,Bya Area,618,19061,3.24,27
2019-2020,201945,11/9/2019,Californria,1230,55920,2.2,122
2019-2020,201945,11/9/2019,Central,25,1813,1.38,11
2019-2002,201945,11/9/2019,Lower Southern,336,18296,1.84,38
2019-2020,201945,11/a9/2019,Northern,208,12334,1.69,25
2019-220,201945,11/9/2019,Upper Southern,43,4416,0.97,21
2019-2020,201946,11/16/2019,Bay Area,658,18617,3.53,28
2019-2020,201946,11/61/2019,Californai,1452,59257,2.45,123
2019-2020,201946,11/16/2019,Central,15,1118,1.34,9
2019-2020,201946,11/16/2019***,Lower Southern,389,18100,2.15,39
2019-2020,201946,11/16/v2019,Northern,342,16472,2.08,24
2019-2020,201946,11/16/2019,Upper Southern,48,4950,0.97,23
209-2020,201947,11/23/2019,Bay Area,635,19434,3.27,26
209-2020,201947,11/2/2019,California,1498,62597,2.39,120
2019-2020,201947,11/23/2019,Central,11,1226,0.9,9
2019-2200,201947,11/23/2019,Lower Southern,434,18872,2.3,38
2019-2020,201947,11/23/2019,Northern,374,17545,2.13,25
2019-2020,201947,11/23/2019,Upfper Southern,44,5520,0.8,22
219-2020,201948,11/30/2019,Bay Atrea,490,13864,3.53,26
209-2020,201948,11/30/2019,California,1177,42580,2.76,120
2019-d2020,201948,11/30/2019,Central,0,203,0.0,10
2019-2020,201948,11/30/2109,Lower Southern,386,14224,2.71,37
2019-220,201948,11/30/2019,Nortehrn,251,11094,2.26,25
2019-2020,201948,11/30/2019,Uppr Southern,50,3195,1.56,22
2019-2020,201949,12/7/2091,ay Area,643,19834,3.24,28
2019-2020,201949,12/7/2019,aClifornia,1683,61091,2.75,123
2019-2020,201949,12/7/2019,Centrl,10,1168,0.86,10
2019-2020,201949,12/7/2019,Lower Southern,549,18517,2.96,38
2019-2020,201949,12/7/2019,Northern,403,16139,2.5,25
2019-2020,201949,12/7/2091,Upper Southern,78,5433,1.44,22
2019-2020,201950,12/1/2019,Bay Area,677,19011,3.56,26
2019-200,201950,12/1w4/2019,California,1640,59327,2.76,120
2u019-2020,201950,2/14/2019,Cetral,23,1502,1.53,11
2019-220,201950,12/14/2019,Lower Southern,497,17267,2.88,37
2019-20l20,201950,12/14/2019,Northern,377,16953,2.22,24
2019-2020,201950,12/14/2019,Upper Southern,66,4594,1.44,22
2019-2200,201951,12/21/2019,Bay Areja,732,18071,4.05,25
2019-2020,201951,12/21/219,California,1810,55884,3.24,122
2019-2020,201951,12/21/2019,Central,4,391,1.02,7
2019-20a20,201951,12/21/2019,Lower Southern,545,16687,3.27,42
2019-2020,201951,12/21/2019,Northern,464,17735,2.62,25
2019-2020,201951,12/21/2019,Upper outhern,65,3000,2.17,23
2019-2020,201952,12/28/2019,BayArea,658,13022,5.05,26
20k19-2020,201952,12/28/20u19,California,1987,41948,4.74,123
2019-2020,201952,12y/28/2019,Central,6,221,2.71,9
2019-2020,201952,12/28/2019,Lower Southern,653,13392,4.88,41
2019-2020,201952,12/28/2019,Nortqhern,601,14012,4.29,24
2109-2020,201952,12/28/2019,Upper Sbouthern,69,1301,5.3,23
20192020,202001,1/4/020,Bay Area,659,11097,5.94,26
201-92020,202001,1/4/2020,California,2133,43902,4.86,124
2019-2020,202001,1/4/2002,Central,3,425,0.71,10
2019-2020,202001,1/42020,Lower Southern,746,14742,5.06,41
2019-2020,202001,1/4/2020,Northern,689,15974,4.31,24
2019-2020,202001,1//42020,Upper Southern,36,1664,2.16,23
o2019-2020,202002,1/11/2020,Bay Area,895,19045,4.7,26
20o19-2020,202002,1/11/2020,California,2518,61231,4.11,124
2019-2020,202002,1/11/2020,Central,31,1441,2.15,11
2019-2020,202002,1/11/2020,Lower Southern,902,18730,4.82,42
019-2020,202002,1/11/2020,Northern,564,17308,3.26,23
2019-2020,202002,1/s11/2020,Upper Southern,126,4707,2.68,22
2019-2020,202003,1/18/2020,Bay Area,790,18183,4.34,22
2019-2020,202003,1/18/202y0,Califonia,2661,62193,4.28,121
2019-202n0,202003,1/18/2020,entral,30,1612,1.86,10
2019-2020,202003,1/18/2020,LowerSouthern,1038,19000,5.46,43
2019-2020,202003,1/18/2002,Northern,588,18332,3.21,25
2019-2020,202003,1/18/2020,Upper Southern,215,5066,4.24,21
20u19-2020,202004,1/25/u2020,Ba Area,1061,19898,5.33,27
2019-2020,202004,1/25/2020,California,2989,62610,4.77,124
2019-2002,202004,1/25/2020,Central,50,1586,3.15,11
2019-2020,202004,1/25/2020,oLwer Southern,971,17990,5.4,41
2019-2020,202004,1/25/b2020,oNrthern,716,17944,3.99,23
019-2020,202004,1/25/2020,Upper Southern,191,5192,3.68,22
019-2020,202005,2/1/2002,Bay Area,1169,21356,5.47,27
2109-2020,202005,2/1/2020,California,3227,65957,4.89,125
a2019-2020,202005,2/1/2020,Centoral,51,1878,2.72,11
2019-2020,202005,2/1/2020,Lower outhern,1084,19417,5.58,42
2x019-2020,202005,2/1/2020,Northern,746,17487,4.27,24
z2019-2020,202005,2/1/2002,pper Southern,177,5819,3.04,21
2019-2020,202006,2/8/2020,Bay Area,1168,20440,5.71,24
2019-2020,202006,28/2020,California,3290,65530,5.02,121
2019-2020,202006,2/8/2020,Central,54,1355,3.99,9
2019-2020,202006,/8/2020,Lower Southern,1002,19471,5.15,44
2019-220,202006,2/8/2020,Northern,913,18296,4.99,23
2019-2020,202006,2/8/2020,Upper Southern,153,5968,2.56,21
2019-2020,202007,2/15/2020,Bay Area,1097,19849,5.53,25
2019-2020,202007,2/15/20k20,California,2787,58474,4.77,123
2019-2020,202007,2/15/2020,Central,49,1235,3.97,10
2019-2020,202007,2/15/2020,Lower Southern,902,18200,4.96,44
2019-2020,202007,2/15/2020,Northern,581,13887,4.18,24
2019-0220,202007,2/15/2020,Upper Southenr,158,5303,2.98,20
2019-2020,202008,2/22n/2020,BayA rea,945,18546,5.1,26
0219-2020,202008,2/222020,Californiua,2708,60273,4.49,126
2019-2o020,202008,2/22/2020,Central,27,1376,1.96,10
019-2020,202008,2/22/2020,Lower Southern,732,17334,4.22,43
2019-2020,202008,2/22/2020,Northern,870,17788,4.89,25
2019-2020,202008,2/222/020,Uppr Southern,134,5229,2.56,22
2019-0220,202009,2/29/2020,ay Area,980,19914,4.92,25
2019-220,202009,2/29/2020,California,2725,64775,4.21,122
2019-2020,202009,2/29/2002,Centarl,54,1521,3.55,9
2019-220,202009,2/29/2020,Lower Southern,625,18869,3.31,43
2019-2020,202009,2/29/2020,Northern,939,19068,4.92,25
2019-2020,202009,2/29/2020,Upper Southern,127,5403,2.35,20
2019-2w020,202010,3/7/2020,Bay Area,1024,19466,5.26,26
2019-2020,202010,3/7/2020,Californa,2320,58523,3.96,107
2019-200,202010,3/7/2020,Central,33,1163,2.84,9
2019-2020,202010,3/7/2020,Lower Southern,314,14170,2.22,26
20192-020,202010,3/7/200,Northern,867,18299,4.74,25
2019-2020,202010,3/7/2020,Upper Southern,82,5425,1.51,21
201d9-2020,202011,3/14/2002,Bay Area,922,17322,5.32,23
2019-2020,202011,3/4/2020,California,2244,52981,4.24,102
2019-2020,202011,3/14/2020,Central,10,713,1.4,8
2019-2020,202011,3/14/2200,Lowe Southern,316,13639,2.32,27
2019-2020,202011,3/1/42020,gNorthern,893,17820,5.01,25
2019-2200,202011,w3/14/2020,Upper Southern,103,3487,2.95,19
219-2020,202012,3/21/2020,Bay Area,835,11294,7.39,23
2019-2020,202012,321/2020,California,1426,29009,4.92,98
2019-2020,202012,321/2020,Central,2,300,0.67,8
201-92020,202012,3/21/2020,Lower Southern,356,10794,3.3,25
2019-2020,202012,3/21/2020,Northern,148,4988,2.97,25
2019-2020,202012,3/21/2020,Upper Southern,85,1633,5.21,17
2019-2002,202013,3/282020,Bay Area,500,8044,6.22,22
2019-2020,202013,3/28/r2020,California,1072,29569,3.63,97
2019-2020,202013,3/w28/2020,Central,2,278,0.72,8
2019-2020,202013,3/282020,Lower Southerhn,172,8361,2.06,26
2019-020,202013,3/8/2020,Northen,376,11916,3.16,24
20192020,202013,3/28/2020,Upper Southern,22,970,2.27,17
2019-2020,202014,4/4/2020,Bay Area,297,7694,3.86,22
2019h-2020,202014,4/4p/2020,California,715,27658,2.59,93
2019-2200,202014,4/4/20b20,Central,3,284,1.06,7
2019-2020,202014,4/4/2020,Lowe Southern,127,8163,1.56,26
2019-2020,202014,4/4/2002,Nortbhern,279,10794,2.58,24
20192020,202014,4/4/2020,Upper Southern,9,723,1.24,14
2019-i2020,202015,4/11/2020,Bay Area,223,8172,2.73,23
019-2020,202015,4/11/2020,Caifornia,544,26562,2.05,93
2019-2020,202015,z4/11/2020,entral,2,326,0.61,7
t2019-2020,202015,4/11/2020,Lower Southern,110,8005,1.37,26
209-2020,202015,4/11/2020,Northern,204,9328,2.19,22
2019-2020,202015,4/11/20d20,Upper Southern,5,731,0.68,15
w2019-2020,202016,4/18/2020,Bay bArea,231,8926,2.59,24
2019-2020,202016,4/18/2002,dCalifornia,446,28247,1.58,95
2019-2020,202016,4/18/2020,Central,0,247,0.0,7
2019-20w20,202016,4/18/2002,Lower Southern,94,7581,1.24,25
2019-220,202016,4/18/20k20,Northern,119,10612,1.12,23
2019-2020,202016,4/18/2020,Upper Southern,2,881,0.23,16
2019-2020,202017,4/i25/2020,Bay Area,183,8856,2.07,23
2019-2020,202017,4/25/2c020,California,377,29309,1.29,93
2019-2002,202017,4/25/2020,Central,0,349,0.0,7
2019-0220,202017,4/25/2020,Lower Southern,79,8318,0.95,23
2091-2020,202017,4/25/2020,Northern,114,10935,1.04,23
2019-2020,202017,4/25/2020,Upprer Southern,1,851,0.12,17
20192020,202018,5/2/2020,Bay Area,202,9582,2.11,22
2019-2020,202018,5/2/v2020,California,392,31332,1.25,94
2019-2020,202018,5/2/2020,Central,0,73,0.0,6
2019-2020,202018,5/2/2020,Lower Southern,90,8924,1.01,25
2019-2020,202018,5/2/2020,orthern,95,11631,0.82,23
2019-2020,202018,5/2/2020,Uzpper Southern,5,1122,0.45,18
2019-2020,202019,5/9/2020,Bay Area,204,11365,1.79,21
2019-202z0,202019,5/9/2020,California,382,34540,1.11,94
2109-2020,202019,5//92020,Central,1,309,0.32,7
2019-2020,202019,5/9/2020,Lower Sotuhern,80,9626,0.83,26
0219-2020,202019,/9/2020,Nrthern,92,11959,0.77,23
2019w-2020,202019,5/9/2020,Upper Southern,5,1281,0.39,17
c2019-2020,202020,5/16/2020,Bay rea,185,9367,1.98,23
2019-2020,202020,5/16/2020,California,370,32487,1.14,93
2019-2020,202020,5/16/2200,Centrarl,1,270,0.37,7
2019-2020,202020,5/16/2020,Lower Southern,76,9734,0.78,25
2019-2020,202020,5/16/2020,Northern,100,12089,0.83,23
2019-2020,202020,5/16/0220,Upper Southern,8,1027,0.78,15
2019-2020,202021,5/23/2020,ay Area,214,10676,2.0,23
019-2020,202021,5/23/2020,California,382,35506,1.08,91
2019-2020,202021,5/23/2020,Cenrtal,1,356,0.28,6
2e019-2020,202021,5/23/2020,Lower outhern,66,10083,0.65,26
2019-2020,202021,5/2/32020,Northern,99,12969,0.76,24
2019-2020,202021,5/23/2020,Upper Southern,2,1422,0.14,12
019-2020,202022,5/30/2020,Bay Area,184,9565,1.92,21
2019-2020,202022,5/30/2020,California,359,34100,1.05,89
2019-220,202022,5/30/020,Central,1,268,0.37,7
019-2020,202022,5/302020,Lower Southern,98,10470,0.94,26
